noise_sd_pct,true_case_index,repeat_index,direction_index,feasibility_ratio_pct,optimality_ratio_pct,feasibility_success,optimality_success
0.0,11,1,9,0.0008637438927626349,1.9320563756719533,1,1
0.0,11,2,0,0.0011916516155897226,1.9369065853491432,1,1
0.0,11,2,1,0.0008637438927626349,1.9368377045060055,1,1
0.0,11,2,2,0.0009673968581161584,1.7594826856810437,1,1
0.0,11,2,3,0.0008616088226349154,1.7756913028817316,1,1
0.0,11,2,4,0.0008616088226349154,1.8153756797022274,1,1
0.0,11,2,5,0.0011380966865880895,1.6499651085512272,1,1
0.0,11,2,6,0.001191652802680534,1.7006742120056948,1,1
0.0,11,2,7,0.0007679861861565779,2.0766626876797565,1,1
0.0,11,2,8,0.0008212705699566994,2.1954993905571203,1,1
0.0,11,2,9,0.000767991627947766,2.2248267729609648,1,1
0.0,12,0,0,0.00030144712965853054,1.854644582907435,1,1
0.0,12,0,1,0.000999722034346803,1.8487897085981384,1,1
0.0,12,0,2,0.0006556651124659796,2.7854498513255765,1,1
0.0,12,0,3,0.0006574665391272346,2.475286206662365,1,1
0.0,12,0,4,0.0007935617293515231,2.0693858005856365,1,1
0.0,12,0,5,0.0006256086233020914,3.124998141912512,1,1
0.0,12,0,6,0.0009997296461112496,1.8556985466895386,1,1
0.0,12,0,7,0.0006256083485739884,3.2763357225162384,1,1
0.0,12,0,8,0.00027240601309084947,1.8211819678636647,1,1
0.0,12,0,9,0.0007756432548293746,2.6562117284263795,1,1
0.0,12,1,0,0.0007756432550973856,2.3090585359057867,1,1
0.0,12,1,1,0.0007935617664706783,2.25350402240422,1,1
0.0,12,1,2,0.0007935616852058792,2.0657574094172912,1,1
0.0,12,1,3,0.0006556542355146522,2.7354515054215587,1,1
0.0,12,1,4,0.00031182818514165737,1.920516971672135,1,1
0.0,12,1,5,0.00030144712970963706,1.9614829643816019,1,1
0.0,12,1,6,0.000999729653826906,1.8802456973296768,1,1
0.0,12,1,7,0.0003014471238927497,2.1919961070674248,1,1
0.0,12,1,8,0.000999729634177168,1.8781050201216807,1,1
0.0,12,1,9,0.0007756432550963077,2.5471326684020252,1,1
0.0,12,2,0,0.0009997296502643677,1.902787287043169,1,1
0.0,12,2,1,0.0003118282060878644,1.9087042148214464,1,1
0.0,12,2,2,0.0006256091006094063,3.2807223403925465,1,1
0.0,12,2,3,0.0007935618047465545,2.0589746918307785,1,1
0.0,12,2,4,0.0006256078922063363,3.273905927311105,1,1
0.0,12,2,5,0.0006556636657764865,2.597407307334089,1,1
0.0,12,2,6,0.0009997220167370564,1.8440092174288487,1,1
0.0,12,2,7,0.0003014471297135657,2.0511335553551158,1,1
0.0,12,2,8,0.000657466537510546,2.3922479293683794,1,1
0.0,12,2,9,0.0006256035485368331,3.3017707739599826,1,1
0.0,13,0,0,0.0006260834465997142,3.3603759163864204,1,1
0.0,13,0,1,0.0007515316762787088,2.5641208044905257,1,1
0.0,13,0,2,0.0008038561459376075,2.0892939040342515,1,1
0.0,13,0,3,0.0009092173755597125,1.9365459999869217,1,1
0.0,13,0,4,0.0006260795627552356,3.314029289544319,1,1
0.0,13,0,5,0.0006500646264929616,2.6486484328328244,1,1
0.0,13,0,6,0.0008038556498025799,2.6089223913713075,1,1
0.0,13,0,7,0.0007038422228471409,2.6120703570411807,1,1
0.0,13,0,8,0.0007038448560734974,2.565948919847886,1,1
0.0,13,0,9,0.0011693125373295633,1.665196284569459,1,1
0.0,13,1,0,0.0008038561666814312,2.2628917078572024,1,1
0.0,13,1,1,0.0008038553170901591,2.668243285264837,1,1
0.0,13,1,2,0.0011693125365284493,1.6392219161852055,1,1
0.0,13,1,3,0.0009092173754845141,1.8390792800446456,1,1
0.0,13,1,4,0.0011693125365132354,1.6514557529080789,1,1
0.0,13,1,5,0.0009828067899010145,1.7438422423874298,1,1
0.0,13,1,6,0.0007038428776886799,2.4265555391609146,1,1
